11/2/2022,Boston Celtics,Cleveland Cavaliers
11/2/2022,Washington Wizards,Philadelphia 76ers
11/2/2022,Charlotte Hornets,Chicago Bulls
11/2/2022,Sacramento Kings,Miami Heat
11/2/2022,Atlanta Hawks,New York Knicks
11/2/2022,Los Angeles Clippers,Houston Rockets
11/2/2022,Detroit Pistons,Milwaukee Bucks
11/2/2022,Toronto Raptors,San Antonio Spurs
11/2/2022,Utah Jazz,Dallas Mavericks
11/2/2022,Memphis Grizzlies,Portland Trail Blazers
11/2/2022,New Orleans Pelicans,Los Angeles Lakers
11/3/2022,Golden State Warriors,Orlando Magic
11/3/2022,Denver Nuggets,Oklahoma City Thunder
11/4/2022,Cleveland Cavaliers,Detroit Pistons
11/4/2022,Miami Heat,Indiana Pacers
11/4/2022,New York Knicks,Philadelphia 76ers
11/4/2022,Brooklyn Nets,Washington Wizards
11/4/2022,Chicago Bulls,Boston Celtics
11/4/2022,Charlotte Hornets,Memphis Grizzlies
11/4/2022,Los Angeles Clippers,San Antonio Spurs
11/4/2022,Toronto Raptors,Dallas Mavericks
11/4/2022,Golden State Warriors,New Orleans Pelicans
11/4/2022,Milwaukee Bucks,Minnesota Timberwolves
11/4/2022,Portland Trail Blazers,Phoenix Suns
11/4/2022,Utah Jazz,Los Angeles Lakers
11/5/2022,Sacramento Kings,Orlando Magic
11/5/2022,Brooklyn Nets,Charlotte Hornets
11/5/2022,New Orleans Pelicans,Atlanta Hawks
11/5/2022,Boston Celtics,New York Knicks
11/5/2022,Oklahoma City Thunder,Milwaukee Bucks
11/5/2022,Houston Rockets,Minnesota Timberwolves
11/5/2022,San Antonio Spurs,Denver Nuggets
11/5/2022,Portland Trail Blazers,Phoenix Suns
11/6/2022,Cleveland Cavaliers,Los Angeles Lakers
11/6/2022,Washington Wizards,Memphis Grizzlies
11/6/2022,Chicago Bulls,Toronto Raptors
11/6/2022,Utah Jazz,Los Angeles Clippers
11/7/2022,Washington Wizards,Charlotte Hornets
11/7/2022,Houston Rockets,Orlando Magic
11/7/2022,Oklahoma City Thunder,Detroit Pistons
11/7/2022,New Orleans Pelicans,Indiana Pacers
11/7/2022,Phoenix Suns,Philadelphia 76ers
11/7/2022,Milwaukee Bucks,Atlanta Hawks
11/7/2022,Portland Trail Blazers,Miami Heat
11/7/2022,Toronto Raptors,Chicago Bulls
11/7/2022,Boston Celtics,Memphis Grizzlies
11/7/2022,New York Knicks,Minnesota Timberwolves
11/7/2022,Denver Nuggets,San Antonio Spurs
11/7/2022,Brooklyn Nets,Dallas Mavericks
11/7/2022,Sacramento Kings,Golden State Warriors
11/7/2022,Los Angeles Lakers,Utah Jazz
11/7/2022,Cleveland Cavaliers,Los Angeles Clippers
11/9/2022,Portland Trail Blazers,Charlotte Hornets
11/9/2022,Denver Nuggets,Indiana Pacers
11/9/2022,Dallas Mavericks,Orlando Magic
11/9/2022,Utah Jazz,Atlanta Hawks
11/9/2022,Detroit Pistons,Boston Celtics
11/9/2022,New York Knicks,Brooklyn Nets
11/9/2022,Houston Rockets,Toronto Raptors
11/9/2022,New Orleans Pelicans,Chicago Bulls
11/9/2022,Phoenix Suns,Minnesota Timberwolves
11/9/2022,Milwaukee Bucks,Oklahoma City Thunder
11/9/2022,Memphis Grizzlies,San Antonio Spurs
11/9/2022,Los Angeles Lakers,Los Angeles Clippers
11/9/2022,Cleveland Cavaliers,Sacramento Kings
11/10/2022,Dallas Mavericks,Washington Wizards
11/10/2022,Philadelphia 76ers,Atlanta Hawks
11/10/2022,Charlotte Hornets,Miami Heat
11/10/2022,Portland Trail Blazers,New Orleans Pelicans
11/11/2022,Denver Nuggets,Boston Celtics
11/11/2022,Phoenix Suns,Orlando Magic
11/11/2022,Detroit Pistons,New York Knicks
11/11/2022,Toronto Raptors,Oklahoma City Thunder
11/11/2022,Milwaukee Bucks,San Antonio Spurs
11/11/2022,Minnesota Timberwolves,Memphis Grizzlies
11/11/2022,Cleveland Cavaliers,Golden State Warriors
11/11/2022,Sacramento Kings,Los Angeles Lakers
11/12/2022,Brooklyn Nets,Los Angeles Clippers
11/12/2022,Utah Jazz,Washington Wizards
11/12/2022,Boston Celtics,Detroit Pistons
11/12/2022,Toronto Raptors,Indiana Pacers
11/12/2022,Atlanta Hawks,Philadelphia 76ers
11/12/2022,Charlotte Hornets,Miami Heat
11/12/2022,Portland Trail Blazers,Dallas Mavericks
11/12/2022,Houston Rockets,New Orleans Pelicans
11/13/2022,Oklahoma City Thunder,New York Knicks
11/13/2022,Minnesota Timberwolves,Cleveland Cavaliers
11/13/2022,Memphis Grizzlies,Washington Wizards
11/13/2022,Utah Jazz,Philadelphia 76ers
11/13/2022,Denver Nuggets,Chicago Bulls
11/13/2022,Golden State Warriors,Sacramento Kings
11/13/2022,Brooklyn Nets,Los Angeles Lakers
11/14/2022,Toronto Raptors,Detroit Pistons
11/14/2022,Charlotte Hornets,Orlando Magic
11/14/2022,Oklahoma City Thunder,Boston Celtics
11/14/2022,Phoenix Suns,Miami Heat
11/14/2022,Los Angeles Clippers,Houston Rockets
11/14/2022,Atlanta Hawks,Milwaukee Bucks
11/14/2022,San Antonio Spurs,Golden State Warriors
11/15/2022,Memphis Grizzlies,New Orleans Pelicans
11/15/2022,Los Angeles Clippers,Dallas Mavericks
11/15/2022,San Antonio Spurs,Portland Trail Blazers
